Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,0.266666,0.270833,0.266666,0.270833,0.181360,1416000
2008-01-03,0.270833,0.270833,0.268750,0.270833,0.181360,10020000
2008-01-04,0.270833,0.272916,0.264583,0.270833,0.181360,21163200
2008-01-07,0.270833,0.270833,0.262500,0.264583,0.177175,2304000
2008-01-08,0.266666,0.268750,0.262500,0.264583,0.177175,1867200
2008-01-09,0.264583,0.264583,0.254166,0.256250,0.171595,6614400
2008-01-11,0.260416,0.262500,0.256250,0.258333,0.172990,3952800
2008-01-14,0.256250,0.260416,0.252083,0.254166,0.170199,8791200
2008-01-15,0.254166,0.256250,0.241666,0.243750,0.163224,6036000
2008-01-16,0.241666,0.243750,0.233333,0.237500,0.159039,15816000
2008-01-17,0.239583,0.239583,0.235416,0.239583,0.160434,23846400
2008-01-18,0.239583,0.239583,0.233333,0.235416,0.157644,2121600
2008-01-21,0.237500,0.237500,0.231250,0.233333,0.156249,2344800
2008-01-22,0.231250,0.231250,0.214583,0.229166,0.153458,13845600
2008-01-23,0.229166,0.229166,0.229166,0.229166,0.153458,0
2008-01-24,0.237500,0.239583,0.227083,0.229166,0.153458,2575200
2008-01-25,0.229166,0.231250,0.220833,0.227083,0.152064,25900800
2008-01-28,0.225000,0.227083,0.220833,0.220833,0.147878,11527200
2008-01-29,0.222916,0.222916,0.220833,0.222916,0.149273,5484000
2008-01-30,0.225000,0.225000,0.218750,0.220833,0.147878,9710400
2008-01-31,0.220833,0.222916,0.218750,0.222916,0.149273,14803200
2008-02-04,0.222916,0.222916,0.214583,0.216666,0.145088,15964800
2008-02-05,0.216666,0.216666,0.214583,0.216666,0.145088,2956800
2008-02-06,0.216666,0.216666,0.212500,0.214583,0.143693,1728000
2008-02-11,0.214583,0.216666,0.212500,0.216666,0.145088,1008000
2008-02-12,0.218750,0.222916,0.216666,0.222916,0.149273,17649600
2008-02-13,0.222916,0.222916,0.216666,0.218750,0.148145,1617600
2008-02-14,0.218750,0.218750,0.216666,0.218750,0.148145,13447200
2008-02-15,0.218750,0.218750,0.218750,0.218750,0.148145,7970400
2008-02-18,0.220833,0.220833,0.212500,0.214583,0.145323,20412000
2008-02-19,0.214583,0.214583,0.212500,0.214583,0.145323,936000
2008-02-20,0.214583,0.214583,0.210416,0.212500,0.143912,1543200
2008-02-21,0.214583,0.214583,0.208333,0.210416,0.142501,1401600
2008-02-22,0.210416,0.210416,0.206666,0.210416,0.142501,25315200
2008-02-25,0.210416,0.210416,0.207500,0.210416,0.142501,20313600
2008-02-26,0.210416,0.210416,0.208333,0.210416,0.142501,1759200
2008-02-27,0.210416,0.212500,0.210416,0.210416,0.142501,504000
2008-02-28,0.212500,0.212500,0.207500,0.210416,0.142501,1860000
2008-02-29,0.210416,0.210416,0.208333,0.210416,0.142501,1384800
2008-03-03,0.208333,0.208333,0.206666,0.208333,0.141090,10224
2008-03-04,0.208333,0.208333,0.200000,0.204166,0.138268,24554400
2008-03-05,0.204166,0.204166,0.195833,0.199166,0.134882,5112000
2008-03-06,0.198333,0.199166,0.195833,0.196666,0.133189,8304000
2008-03-07,0.195833,0.195833,0.193333,0.195000,0.132061,2160000
2008-03-10,0.193333,0.195833,0.185833,0.187500,0.126981,22965600
2008-03-11,0.187500,0.191666,0.185833,0.187500,0.126981,11284800
